                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8437,                 3.3816,                 1.4611,                0.01667,                0.64356,                0.08919,                0.03718,                 1.4998,                 3.3105,                 1.3016,                0.00012,                0.00012,                0.00012
                      2,                 1.5119,                 2.3631,                 1.2528,                0.24398,                0.31188,                0.24537,                0.14612,                 1.5271,                 2.9094,                 1.1741,             0.00025485,             0.00025485,             0.00025485
                      3,                 1.5608,                 1.7796,                 1.2264,                0.02064,                0.79703,                0.24494,                0.12253,                 1.5478,                 2.9501,                 1.2196,             0.00038416,             0.00038416,             0.00038416
                      4,                 1.4719,                 1.7558,                 1.1982,                0.02128,                0.82178,                0.20945,                0.11993,                 1.5024,                 2.9218,                 1.1869,             0.00050792,             0.00050792,             0.00050792
                      5,                 1.5835,                 1.6561,                 1.2621,                0.66947,                0.09028,                0.20557,                 0.1124,                 1.6162,                 2.8228,                 1.2988,             0.00062614,             0.00062614,             0.00062614
                      6,                 1.5371,                 1.6125,                 1.2671,                0.24787,                0.08416,                0.08761,                0.04293,                 1.6949,                 2.9553,                 1.3644,             0.00073882,             0.00073882,             0.00073882
                      7,                 1.4911,                 1.4606,                 1.2261,                0.72429,                0.10404,                0.25477,                0.15109,                 1.6319,                 2.7286,                 1.3559,             0.00084595,             0.00084595,             0.00084595
                      8,                 1.4647,                 1.4548,                 1.2514,                0.48508,                0.15842,                0.20392,                0.12039,                 1.6452,                 2.7616,                 1.3666,             0.00094754,             0.00094754,             0.00094754
                      9,                 1.4522,                 1.4875,                 1.2096,                0.62389,                0.14851,                0.26507,                0.14126,                 1.6676,                 2.7288,                 1.3529,              0.0010436,              0.0010436,              0.0010436
                     10,                  1.454,                 1.3972,                 1.2346,                 0.5299,                0.23762,                0.27936,                0.13754,                 1.8034,                 2.6126,                  1.463,              0.0011341,              0.0011341,              0.0011341
                     11,                 1.4836,                 1.3707,                 1.1834,                0.26245,                0.22772,                0.15298,                0.08673,                 1.6433,                 2.5404,                 1.3805,               0.001219,               0.001219,               0.001219
